Sprint #,Sprint Name,Task ID,Task Title,User Story (short),Area,Type,AI/Non-AI,Risk,SP,Status,Start Date,Completed Date,Dependencies,Acceptance Criteria Ref,Tracker Notes (Dev Agent)
3,Today's Plan & Activities API,3.4,GET /student/results/:type/:id,"Student: get activity result (score, breakdown, suggested next)",Backend — Business,Feature,Non-AI,Low,1,Done,2026-02-13,2026-02-13,3.3,Backlog § Task 3.4 Checklist,"GET /v1/student/results/:type/:id: returns activityId, type, title, status, totalQuestions, answeredQuestions, correctAnswers, score (0-100), per-question breakdown [{questionId, isCorrect, score}], suggestedNext [{type, title, reason}]. Suggested next based on performance: <60%→gap_bridge, 60-89%→quiz, 90%+→next topic. Auth required; scoped by student_id. 404 if not found."
4,AI Integration & Grading,4.1,AI provider integration and timeout/fallback,Business layer: call AI with timeout and fallback,Backend — Integration,Feature,AI,Medium,3,Done,2026-02-16,2026-02-16,2.3,Backlog § Task 4.1 Checklist,"AiProviderService: OpenAI-compatible HTTP client using native fetch+AbortController. 10s timeout → deterministic fallback. Response validated (sanitized, no raw errors). Token usage logged (model, tier, tokens, latency). FallbackConfig per call site. PromptBuilderService: typed prompt builders for grading, feedback, doubt — all use syllabus context only (no PII, pseudonymous). Cost tiering: grading=cheap model, feedback=higher model. Config: AI_BASE_URL, AI_API_KEY, AI_GRADING_MODEL, AI_FEEDBACK_MODEL, AI_TIMEOUT_MS, AI_MAX_TOKENS, AI_TEMPERATURE. AiModule @Global."
4,AI Integration & Grading,4.2,GET /student/activities/:type/:id/feedback (progressive guidance),Student: next AI guidance level (Hint → Approach → Concept → Solution),Backend — Business,Feature,AI,Medium,3,Done,2026-02-16,2026-02-16,"3.3, 4.1",Backlog § Task 4.2 Checklist,"GET /v1/student/activities/:type/:id/feedback?questionId=&level=. FeedbackService enforces level order: Hint→Approach→Concept→Solution. Auto-advances if no level specified. No skipping (resolveTargetLevel ensures monotonic progression). Returns {questionId, level, content, fromAi, nextLevel, maxLevelReached}. Persists feedbackLevel+aiFeedback+aiConversationRef to response entity. Fallback: static syllabus-aware hints when AI unavailable. 404 for unknown activity/question."
4,AI Integration & Grading,4.3,Deterministic and AI-assisted grading rules,System: deterministic for objective; AI/rubric for open-ended,Backend — Business,Feature,AI,Low,2,Done,2026-02-16,2026-02-16,"3.3, 4.1",Backlog § Task 4.3 Checklist,"GradingService: MCQ/TRUE_FALSE/FILL_BLANK → deterministic (case-insensitive exact match, score 0/100). SHORT_ANSWER/LONG_ANSWER → AI-assisted via AiProviderService with rubric context; parseGradingResponse extracts JSON {isCorrect, score, feedback}; score clamped 0-100. No API key → graceful 'pending' status. ActivitiesService.submitAnswer now delegates to GradingService. AI grading results stored: aiFeedback+aiConversationRef in response entity. No PII in prompts."
5,Attendance & Doubts API,5.1,GET /student/attendance (summary and calendar),Student: attendance summary and calendar for period,Backend — Business,Feature,Non-AI,Low,2,Done,2026-02-17,2026-02-17,"2.2, 2.3",Backlog § Task 5.1 Checklist,"GET /v1/student/attendance: AttendanceController with AttendanceQueryDto — period shortcuts (this_month, last_month, this_term) or explicit startDate/endDate. Returns {summary: {studentId, period, totalDays, present, absent, late, attendancePercent}, calendar: [{date, status}]}. Default: this_month. Timezone-safe date formatting (no UTC shift). Auth required; scoped by student_id. Validation: enum for period, regex for YYYY-MM-DD. Empty state: 0 counts + empty calendar."
5,Attendance & Doubts API,5.2,Doubts: GET list GET thread POST message with syllabus context,Student: doubt threads with Class→Subject→Chapter→Topic context,Backend — Business,Feature,AI,Medium,3,Done,2026-02-17,2026-02-17,"4.1, 2.2, 2.3",Backlog § Task 5.2 Checklist,"DoubtsController: GET /v1/student/doubts (list threads), GET /v1/student/doubts/:threadId (thread + messages), POST /v1/student/doubts (new thread or reply with syllabus context). DTO: CreateDoubtDto with message, optional threadId, syllabusClass/Subject/Chapter/Topic. Replies inherit thread's syllabus context. AI responses via AiProviderService with syllabus-aligned prompt (fallback on AI failure). GET /v1/student/syllabus/tree: SyllabusController+SyllabusService — returns Class→Subject→Chapter→Topic hierarchy from flat records. Both new modules registered."
5,Attendance & Doubts API,5.3,GET /student/profile and GET /student/sync/status,Student: profile and sync status (conflict hint),Backend — Business,Feature,Non-AI,Low,2,Done,2026-02-17,2026-02-17,"2.2, 2.3",Backlog § Task 5.3 Checklist,"Enhanced profile: GET /v1/student/profile now returns progressOverview [{type, total, completed, averageScore}] via ActivityRepository.getProgressOverviewForStudent (GROUP BY type, AVG score). GET /v1/student/sync/status: returns {lastSyncAt, hasConflict, conflictHint?}. Stub — real sync tracking deferred to Sprint 7. Auth required; scoped by student_id."
6,Client — Login Home Activity Results,6.1,Client app shell and API client (auth REST error shape),"Client: Bearer token, error shape, retry",Frontend,Feature,Non-AI,Low,2,Done,2026-02-18,2026-02-18,API contract,Backlog § Task 6.1 Checklist,"React+TS+Vite scaffolded in /client. API client (src/api/client.ts): base URL, Bearer auth, JSON parse, {code,message,details?} error shape, AbortController timeout (15s), 2x retry on network errors, offline detection. AuthContext: login/logout, sessionStorage token persistence. Vite proxy /v1→localhost:3000. Design tokens (theme.css): sage green, deep brown, cream per UX. BottomNav + Skeleton components. Zero TS errors; 80KB gzipped."
6,Client — Login Home Activity Results,6.2,Login screen (Screen 1) per UX spec,"Student: 6-digit MPIN, keypad, error/lockout states",Frontend,Feature,Non-AI,Low,2,Done,2026-02-18,2026-02-18,"6.1; API 1.2, 1.3",Backlog § Task 6.2 Checklist,"Route /login. 6-digit MPIN dots + on-screen keypad. Auto-submit on 6th digit. States: default, entering, loading (spinner), error (red border + message + attempts remaining), locked (countdown timer). Forgot MPIN link. Accessibility: aria-label on keypad, role=alert for errors. Navigate to /home on success."
6,Client — Login Home Activity Results,6.3,Home screen (Screen 2) — Today's Plan,"Student: task cards, progress bar, completed today",Frontend,Feature,Non-AI,Low,2,Done,2026-02-18,2026-02-18,6.1; API 3.1,Backlog § Task 6.3 Checklist,"Route /home. Greeting (time-based), student name. Progress bar (percent + X of Y). Task cards: type badge, status badge, title, subject, question count, estimated time, score. States: loading (skeleton), default, empty (All caught up!), error (Try Again). Tap card → /activity/:type/:id or /results/:type/:id. BottomNav: Home, Attendance, Doubts, Profile."
6,Client — Login Home Activity Results,6.4,Activity screen (Screen 3) — question answer AI feedback panel,"Student: question, submit answer, AI feedback or fallback",Frontend,Feature,AI,Medium,3,Done,2026-02-18,2026-02-18,"6.1; API 3.2, 3.3, 4.2",Backlog § Task 6.4 Checklist,"Route /activity/:type/:id. Question flow: progress bar, MCQ options or text input, Check Answer. Submitting → correct (green) or incorrect (red + AI feedback panel). Feedback panel: Get a Hint → More Help (progressive levels). AI thinking indicator. Pause/exit saves progress. Auto-advances to next unanswered question. Complete state → View Results. Accessibility: question labelled, progress aria-label."
6,Client — Login Home Activity Results,6.5,Results screen (Screen 4),"Student: score, breakdown, suggested next",Frontend,Feature,Non-AI,Low,1,Done,2026-02-18,2026-02-18,6.1; API 3.4,Backlog § Task 6.5 Checklist,"Route /results/:type/:id. Score circle (gradient), star rating (1-5), per-question breakdown (✓/✗ with scores), Suggested Next cards (type + title + reason), Back to Home. States: loading (skeleton), success, perfect score celebration (🎉). 256KB JS bundle."
7,Client — Attendance Doubts Profile & Sync,7.1,Attendance screen (Screen 5) — calendar and summary,Student: attendance summary and calendar,Frontend,Feature,Non-AI,Low,2,Done,2026-02-19,2026-02-19,6.1; API 5.1,Backlog § Task 7.1 Checklist,"Route /attendance. Period selector (This Month/Last Month/This Term). Summary card: Present, Absent, Late, Rate. Calendar grid (7-col, day numbers in coloured dots). Legend. States: loading (skeleton), default, empty, error (retry). Uses GET /v1/student/attendance?period=. Timezone-safe date formatting. Fully responsive 480px max-width."
7,Client — Attendance Doubts Profile & Sync,7.2,Doubts screen (Screen 6) with syllabus context selector,Student: AI chat with Class→Subject→Chapter→Topic context,Frontend,Feature,AI,Medium,3,Done,2026-02-19,2026-02-19,6.1; API 5.2,Backlog § Task 7.2 Checklist,"Route /doubts. Thread list + chat view. Syllabus context bar (Subject·Chapter·Topic) with Change picker (cascading dropdowns from GET /v1/student/syllabus/tree). Chat: student/AI bubbles, auto-scroll, thinking indicator, Enter-to-send. Ask a Doubt creates new thread; replies inherit context. States: loading, empty, error. SendIcon SVG."
7,Client — Attendance Doubts Profile & Sync,7.3,Profile screen and logout,"Student: profile (name, class, board, progress) and logout",Frontend,Feature,Non-AI,Low,1,Done,2026-02-19,2026-02-19,6.1; API 5.3,Backlog § Task 7.3 Checklist,"Route /profile. Avatar initial, name, Class/Board chips, school. Progress Overview: per-type mini progress bar (completed/total + avg score). Quick Links to Attendance and Doubts. Logout with confirmation dialog. Uses GET /v1/student/profile. Clears sessionStorage on logout → /login."
7,Client — Attendance Doubts Profile & Sync,7.4,Sync status and conflict modal,Student: sync status; conflict Use latest? / Keep current,Frontend,Feature,Non-AI,Low,2,Done,2026-02-19,2026-02-19,"6.1, 6.3; API 5.3",Backlog § Task 7.4 Checklist,SyncBanner component on HomeScreen. Polls GET /v1/student/sync/status every 60s. Green dot + 'All caught up!' when synced. Orange dot + conflict modal on hasConflict=true: 'Found newer progress on another device' with [Keep Current] [Use Latest] actions. Overlay with stopPropagation. Fully typed SyncStatus interface.
8,Teacher-Grounded AI Integration & DevOps,8.1,Teacher upload API and file storage integration,Teacher: upload PDF/notes via API with file validation,Backend — Activities Module,Feature,Non-AI,Medium,2,Done,2026-02-20,2026-02-20,"2.1, 2.2, 2.3",Backlog § Task 8.1 Checklist,TeacherContentController: POST /v1/teacher/materials/upload (multipart) + GET /v1/teacher/materials + POST /:id/retry. File validation (PDF/DOCX/TXT 20MB MIME+ext). Local storage in dev. teacher_materials entity+repo. X-Teacher-Id header. Audit logging.
8,Teacher-Grounded AI Integration & DevOps,8.2,PDF parsing and chunking pipeline,System: parse PDFs/docs into text and split into semantic chunks,Backend — Activities Module,Feature,AI,Medium,2,Done,2026-02-20,2026-02-20,8.1,Backlog § Task 8.2 Checklist,TeacherContentService.processAsync: pdf-parse v1 for PDF extraction. Text cleaning (headers/footers/page numbers). Semantic chunking ~500 tokens with ~50 token overlap preserving paragraph boundaries. teacher_material_chunks entity. Async non-blocking. Failure → status=failed.
8,Teacher-Grounded AI Integration & DevOps,8.3,Embedding generation and vector storage,System: generate vector embeddings for chunks; store in pgvector,Backend — Activities Module,Feature,AI,Medium,2,Done,2026-02-20,2026-02-20,8.2,Backlog § Task 8.3 Checklist,Embedding via OpenAI text-embedding-3-small (configurable). Batch 20 chunks/call. JSON text in SQLite dev (pgvector for prod). EmbeddingsRepository with cosine similarity search in-memory. On failure: status=failed. HNSW/IVFFlat index path for PostgreSQL.
8,Teacher-Grounded AI Integration & DevOps,8.4,Retrieval service (vector search integration),Activities: search teacher material by semantic similarity,Backend — Activities Module,Feature,AI,Medium,1,Done,2026-02-20,2026-02-20,8.3,Backlog § Task 8.4 Checklist,RetrievalService: embeds student question via same model. Vector similarity search scoped by class/subject. Top-K=5 configurable. Confidence threshold=0.7 configurable. Below threshold → empty → 'Not found in provided material.' 10s timeout.
8,Teacher-Grounded AI Integration & DevOps,8.5,AI retrieval orchestration service,Activities: build retrieval-augmented prompts; call AI with strict grounding,Backend — Activities Module,Feature,AI,Medium,1,Done,2026-02-20,2026-02-20,"4.1, 8.4",Backlog § Task 8.5 Checklist,AiOrchestratorService: system prompt enforcing retrieval-only answering + [chunk:{id}] citation. Retrieved chunks as sole context. Temperature 0.15. On timeout/error: fail closed → 'Not found in provided material.' Conversation history (last 6 msgs).
8,Teacher-Grounded AI Integration & DevOps,8.6,Strict response validator service,System: validate AI responses for citations and on-topic alignment,Backend — Activities Module,Feature,AI,Low,1,Done,2026-02-20,2026-02-20,8.5,Backlog § Task 8.6 Checklist,ResponseValidatorService: regex [chunk:{uuid}] citation extraction. Validates cited IDs in retrieved set. Rejects no-citation responses. Heuristic off-topic markers ('based on my training' etc). Returns validated response + cited_chunk_ids or fail closed.
8,Teacher-Grounded AI Integration & DevOps,8.7,AI usage logging and monitoring,"System: log AI usage (tokens, latency, retrieval stats); monitor cost/quality",Backend — Activities Module / DevOps,Feature,Non-AI,Low,1,Done,2026-02-20,2026-02-20,"8.5, 8.6, 2.1",Backlog § Task 8.7 Checklist,ai_usage_logs entity: student_id feature_type model tokens latency retrieval_stats response_status rejection_reason. AiUsageRepository aggregations. AiUsageLoggerService non-blocking wrapper. All AI calls (doubt pipeline) log usage.
8,Teacher-Grounded AI Integration & DevOps,8.8,Security: file validation and access control and audit,System: strict file validation; access control for material retrieval; audit,Backend — Security,Hardening,Non-AI,Medium,1,Done,2026-02-20,2026-02-20,"8.1, 8.4",Backlog § Task 8.8 Checklist,File validation: MIME+extension whitelist 20MB. X-Teacher-Id access control. Student retrieval scoped by class at repo level. No raw material to students. Audit log upload/retry. Rate limiting via ThrottlerGuard. Multipart through JsonOnlyMiddleware.
8,Teacher-Grounded AI Integration & DevOps,8.9,DevOps: storage bucket and embedding worker and deployment and monitoring,Team: cloud storage; async embedding worker; CI/CD; monitoring,DevOps,Hardening,Non-AI,Low,2,Done,2026-02-20,2026-02-20,"8.1, 8.2, 8.3",Backlog § Task 8.9 Checklist,TEACHER_STORAGE_PATH EMBEDDING_MODEL RETRIEVAL_CONFIDENCE_THRESHOLD RETRIEVAL_TOP_K env vars. Async in-process worker. NestJS build clean. New entities auto-migrate dev. CORS X-Teacher-Id. Production: S3/GCS storage pgvector embedding worker documented.
