Sprint #,Sprint Name,Task ID,Task Title,User Story (short),Area,Type,AI/Non-AI,Risk,SP,Status,Start Date,Completed Date,Dependencies,Acceptance Criteria Ref,Tracker Notes (Dev Agent)
4,Tests & Evaluation Backend,4.2,Online daily quiz AI question generation (no numericals),AI: generate objective-only quiz questions with no numericals,Teacher Backend — AI Orchestration,Feature,AI,Medium,3,Done,2026-03-02,2026-03-02,"4.1, 3.2",Backlog § Task 4.2 Checklist,AI pipeline + prompt-level + code-level no-numerical enforcement + fallback
4,Tests & Evaluation Backend,4.3,Offline printable test generation & PDF export,AI: offline tests with PDFs for student paper & answer key,Teacher Backend — Tests,Feature,AI,Medium,3,Done,2026-03-02,2026-03-02,"4.1, 3.2",Backlog § Task 4.3 Checklist,All 7 question types + numerical stepwise solutions + Student Paper/Answer Key
4,Tests & Evaluation Backend,4.4,Evaluation APIs (online auto-grade + offline mark entry),Backend: auto-grade online + flows for offline marks,Teacher Backend — Evaluation,Feature,Non-AI,Low,2,Done,2026-03-02,2026-03-02,"4.1, 4.2, 4.3",Backlog § Task 4.4 Checklist,7 endpoints: auto-grade + auto-submit + offline marks + per-student results
5,Analytics & Notifications,5.1,Teacher analytics data APIs (performance & attendance),Backend: KPIs and trends for Results & Analytics,Teacher Backend — Analytics,Feature,Non-AI,Low,3,Done,2026-03-02,2026-03-02,"2.3, 4.4",Backlog § Task 5.1 Checklist,Class KPIs + score trends + attendance trends + at-risk detection (<75% attend / <40% score)
5,Analytics & Notifications,5.2,Notifications & alerts pipeline (teacher-facing),Backend: absence + test-related alerts for teacher,Teacher Backend — Notifications,Feature,Non-AI,Medium,3,Done,2026-03-02,2026-03-02,"2.3, 4.4",Backlog § Task 5.2 Checklist,5 endpoints: list + unread count + mark read + test alerts (auto-submit + eval pending)
5,Analytics & Notifications,5.3,Cross-app read APIs for Student/Parent/Admin,Backend: Teacher aggregates exposed for other apps,Teacher Backend — Integration,Feature,Non-AI,Medium,2,Done,2026-03-02,2026-03-02,5.1,Backlog § Task 5.3 Checklist,4 read-only endpoints: attendance summary + student attendance + performance + student test results
6,Teacher Frontend — Core,6.1,"Teacher frontend app shell, routing & auth",Frontend: app shell + sidebar nav + auth for Teacher,Teacher Frontend,Feature,Non-AI,Low,2,Done,2026-03-02,2026-03-02,"1.1, 1.4",Backlog § Task 6.1 Checklist,React 19+Vite shell; 8 routes; JWT auth context; bottom nav (5 tabs); API client w/ retry+upload; design tokens
6,Teacher Frontend — Core,6.2,Dashboard screen (teacher overview),"Frontend: Dashboard with today's classes, KPIs, alerts",Teacher Frontend,Feature,Non-AI,Low,2,Done,2026-03-02,2026-03-02,"6.1, 5.1, 5.2",Backlog § Task 6.2 Checklist,Greeting + 2x2 KPI grid + today's classes + recent alerts + bell icon + loading/error/empty states
6,Teacher Frontend — Core,6.3,Classes & Attendance screen (desktop + mobile),"Frontend: take attendance per session, default Present",Teacher Frontend,Feature,Non-AI,Low,3,Done,2026-03-02,2026-03-02,"6.1, 2.2",Backlog § Task 6.3 Checklist,Class pills + session list + P/A toggle pills (48px) + summary chips + sticky save footer
6,Teacher Frontend — Core,6.4,Attendance calendar & summaries on frontend,Frontend: calendar and summary views for attendance,Teacher Frontend,Feature,Non-AI,Low,1,Done,2026-03-02,2026-03-02,"6.3, 2.3",Backlog § Task 6.4 Checklist,Monthly calendar grid + present/absent dots + summary stats + student breakdown table
7,Teacher Frontend — Content & Assessments,7.1,Syllabus upload & concepts UI,Frontend: Syllabus screen with uploads + AI concepts,Teacher Frontend — Syllabus,Feature,Non-AI,Low,2,Done,2026-03-02,2026-03-02,"6.1, 3.3",Backlog § Task 7.1 Checklist,Upload zone + status badges (4 states) + lesson detail (concepts/objectives/chapters) + retry
7,Teacher Frontend — Content & Assessments,7.2,Tests UI (online daily quiz + offline printable),Frontend: Tests screen for quizzes + printable tests,Teacher Frontend — Tests,Feature,AI,Medium,3,Done,2026-03-02,2026-03-02,"6.1, 4.2, 4.3",Backlog § Task 7.2 Checklist,Online/Offline tabs + create forms + AI generation + PDF download + lifecycle (draft/publish/close)
7,Teacher Frontend — Content & Assessments,7.3,Results & Analytics UI,Frontend: Results & Analytics dashboards,Teacher Frontend — Analytics,Feature,Non-AI,Low,2,Done,2026-03-02,2026-03-02,"6.1, 5.1",Backlog § Task 7.3 Checklist,Class KPIs + score bar chart + attendance weekly bars + at-risk students table
7,Teacher Frontend — Content & Assessments,7.4,Alerts / Messages UI,Frontend: Alerts/Messages listing teacher notifications,Teacher Frontend — Notifications,Feature,Non-AI,Low,1,Done,2026-03-02,2026-03-02,"6.1, 5.2",Backlog § Task 7.4 Checklist,Filter tabs + priority borders + read/unread tracking + mark all read + unread badge
8,Hardening & AI Guardrails,8.1,"Teacher service observability (logs, metrics, tracing)",DevOps: observability for Teacher backend,DevOps / Teacher Backend,Hardening,Non-AI,Low,2,Done,2026-02-10,2026-02-10,1.2,Backlog § Task 8.1 Checklist,MetricsService + liveness/readiness probes + structured JSON logging + startup diagnostics
8,Hardening & AI Guardrails,8.2,AI governance & guardrails (teacher domain),"AI: guardrails, rate limits, logging for Teacher AI",Teacher Backend — AI Governance,Hardening,AI,Medium,3,Done,2026-02-10,2026-02-10,"3.2, 4.2, 4.3",Backlog § Task 8.2 Checklist,AiAuditService (no PII) + AiRateLimiterService (20/teacher/hr + 200 global/hr) + NumericalValidatorService (14 patterns)
8,Hardening & AI Guardrails,8.3,Performance and load validation for Teacher flows,Perf: load validation for key Teacher flows,Performance,Hardening,Non-AI,Low,2,Done,2026-02-10,2026-02-10,2.x–7.x,Backlog § Task 8.3 Checklist,PerformanceInterceptor (slow-request logging) + performance budgets for 5 critical flows
8,Hardening & AI Guardrails,8.4,Cross-app integration validation (Student/Parent/Admin),Integration: validate Teacher APIs for other apps,Integration,Hardening,Non-AI,Medium,1,Done,2026-02-10,2026-02-10,5.3,Backlog § Task 8.4 Checklist,IntegrationHealthController + @CrossAppEndpoint decorator + cross-app logging + RBAC validation
